id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
37044610,"Modern Penthouse Downtown, Queen and Ossington",272301657,Roni,,Trinity-Bellwoods,43.64427,-79.42162,Entire home/apt,108,2,6,2020-03-22,0.74,1,363
37046399,Urban oasis. Entire main. 2 bed/huge yard/parking,202338294,Andy,,Dovercourt-Wallace Emerson-Junction,43.66369,-79.44341,Entire home/apt,90,7,14,2019-12-31,1.47,1,66
37047387,good localization and facilities,278568640,Debora,,Briar Hill-Belgravia,43.69798,-79.44148,Private room,39,3,1,2019-08-05,0.11,1,310
37047977,Best Weston,6033169,Rusty,,Weston,43.69583,-79.50841,Entire home/apt,84,1,41,2020-02-02,4.32,1,1
37049149,Cozy loft in the Junction,10569188,Kai,,Junction Area,43.66617,-79.46619,Entire home/apt,80,1,1,2019-10-30,0.16,1,0
37050026,Stunning Idyllic condo with breathtaking views,82430885,Kaz,,Waterfront Communities-The Island,43.64033,-79.39927,Entire home/apt,161,3,0,,,1,0
37051729,"Cosy, Quiet Neighbourhood! Close to Everything!",278607103,Elizabeth,,Niagara,43.6369,-79.4029,Private room,75,2,1,2019-08-11,0.11,1,362
37053044,Beautiful Luxury TownHome in Heart of Richview,278634468,Zaen,,Willowridge-Martingrove-Richview,43.6788,-79.54897,Entire home/apt,230,1,9,2020-03-26,0.95,1,0
37053268,Luxury Condo in The Heart of Downtown Toronto,46169106,Saba,,Niagara,43.63752,-79.40088,Entire home/apt,150,90,8,2020-02-20,0.84,2,310
37055198,*LUXURY* - Walk to the EX and Entert. District,261060328,Toucan,,Niagara,43.63627,-79.40614,Entire home/apt,200,1,38,2020-03-20,4.09,6,133
37055338,Cozy Spacious 3BDRM apart. (MIDLEVEL in a TRIPLEX),278667656,Ronald,,Long Branch,43.59148,-79.53176,Entire home/apt,150,1,10,2020-03-03,1.05,1,81
37057119,Open Concept Loft In Toronto's Best Neighborhood!,278699692,Jesse,,Kensington-Chinatown,43.65537,-79.40726,Entire home/apt,276,2,15,2020-03-03,1.57,1,90
37057678,Save $$$ on UR group trip in large Ossington home,150846,Mari Ahmee,,Trinity-Bellwoods,43.65261,-79.41549,Entire home/apt,550,2,6,2020-03-01,1.53,1,179
37057855,"☆☆☆Amazing 2bed Downtown, Lakeshore",211526817,Golsana,,Niagara,43.63537,-79.40516,Entire home/apt,150,4,21,2020-04-27,2.21,43,85
37060081,Newly renovated home with a/c- room for 1. BR3,85507308,Won,,Newtonbrook East,43.79948,-79.41215,Private room,35,1,2,2019-12-28,0.24,6,312
37060597,New luxury bedroom with modern bathroom,85507308,Won,,Newtonbrook East,43.79956,-79.41061,Private room,55,1,5,2019-12-01,0.54,6,36
